Record Time,,,Weekday,Day,Month,Year,Pressure
11:00,PM,PDT,Wednesday,11,March,2020,102.6 kPa
5:00,AM,PDT,Thursday,12,March,2020,102.8 kPa
11:00,AM,PDT,Thursday,12,March,2020,102.8 kPa
5:00,PM,PDT,Thursday,12,March,2020,102.5 kPa
11:00,PM,PDT,Thursday,12,March,2020,102.2 kPa
5:15,AM,PDT,Friday,13,March,2020,101.6 kPa
11:00,AM,PDT,Friday,13,March,2020,101.2 kPa
5:00,PM,PDT,Friday,13,March,2020,100.8 kPa
11:00,PM,PDT,Friday,13,March,2020,100.9 kPa
5:00,AM,PDT,Saturday,14,March,2020,101.2 kPa
11:00,AM,PDT,Saturday,14,March,2020,101.7 kPa
5:00,PM,PDT,Saturday,14,March,2020,102.0 kPa
11:00,PM,PDT,Saturday,14,March,2020,102.4 kPa
5:00,AM,PDT,Sunday,15,March,2020,102.5 kPa
11:00,AM,PDT,Sunday,15,March,2020,102.5 kPa
5:00,PM,PDT,Sunday,15,March,2020,102.2 kPa
11:00,PM,PDT,Sunday,15,March,2020,102.4 kPa
5:00,AM,PDT,Monday,16,March,2020,102.4 kPa
11:00,AM,PDT,Monday,16,March,2020,102.6 kPa
5:00,PM,PDT,Monday,16,March,2020,102.1 kPa
11:05,PM,PDT,Monday,16,March,2020,101.8 kPa
5:00,AM,PDT,Tuesday,17,March,2020,101.4 kPa
11:00,AM,PDT,Tuesday,17,March,2020,101.3 kPa
5:00,PM,PDT,Tuesday,17,March,2020,101.0 kPa
11:03,PM,PDT,Tuesday,17,March,2020,101.0 kPa
5:00,AM,PDT,Wednesday,18,March,2020,101.1 kPa
11:00,AM,PDT,Wednesday,18,March,2020,101.3 kPa
5:00,PM,PDT,Wednesday,18,March,2020,101.2 kPa
11:00,PM,PDT,Wednesday,18,March,2020,101.3 kPa
5:00,AM,PDT,Thursday,19,March,2020,101.5 kPa
11:00,AM,PDT,Thursday,19,March,2020,101.8 kPa
5:00,PM,PDT,Thursday,19,March,2020,101.8 kPa
11:00,PM,PDT,Thursday,19,March,2020,102.1 kPa
5:14,AM,PDT,Friday,20,March,2020,102.4 kPa
11:00,AM,PDT,Friday,20,March,2020,102.7 kPa
5:00,PM,PDT,Friday,20,March,2020,102.5 kPa
11:00,PM,PDT,Friday,20,March,2020,102.5 kPa
5:00,AM,PDT,Saturday,21,March,2020,102.5 kPa
11:00,AM,PDT,Saturday,21,March,2020,102.6 kPa
5:00,PM,PDT,Saturday,21,March,2020,102.3 kPa
11:00,PM,PDT,Saturday,21,March,2020,102.3 kPa
5:00,AM,PDT,Sunday,22,March,2020,102.1 kPa
11:00,AM,PDT,Sunday,22,March,2020,101.9 kPa
5:00,PM,PDT,Sunday,22,March,2020,101.3 kPa
11:00,PM,PDT,Sunday,22,March,2020,100.9 kPa
5:00,AM,PDT,Monday,23,March,2020,100.7 kPa
11:00,AM,PDT,Monday,23,March,2020,100.8 kPa
5:00,PM,PDT,Monday,23,March,2020,100.9 kPa
11:13,PM,PDT,Monday,23,March,2020,101.2 kPa
5:00,AM,PDT,Tuesday,24,March,2020,101.3 kPa
11:00,AM,PDT,Tuesday,24,March,2020,101.5 kPa
5:00,PM,PDT,Tuesday,24,March,2020,101.4 kPa
11:00,PM,PDT,Tuesday,24,March,2020,101.4 kPa
5:00,AM,PDT,Wednesday,25,March,2020,101.5 kPa
11:00,AM,PDT,Wednesday,25,March,2020,101.8 kPa
5:00,PM,PDT,Wednesday,25,March,2020,101.7 kPa
11:00,PM,PDT,Wednesday,25,March,2020,101.7 kPa
5:00,AM,PDT,Thursday,26,March,2020,101.6 kPa
11:00,AM,PDT,Thursday,26,March,2020,101.7 kPa
5:00,PM,PDT,Thursday,26,March,2020,101.6 kPa
11:00,PM,PDT,Thursday,26,March,2020,101.6 kPa
5:00,AM,PDT,Friday,27,March,2020,101.5 kPa
11:00,AM,PDT,Friday,27,March,2020,101.6 kPa
5:00,PM,PDT,Friday,27,March,2020,101.6 kPa
11:35,PM,PDT,Friday,27,March,2020,101.6 kPa
5:00,AM,PDT,Saturday,28,March,2020,101.4 kPa
11:16,AM,PDT,Saturday,28,March,2020,101.3 kPa
5:00,PM,PDT,Saturday,28,March,2020,101.0 kPa
11:00,PM,PDT,Saturday,28,March,2020,100.9 kPa
5:00,AM,PDT,Sunday,29,March,2020,100.7 kPa
11:00,AM,PDT,Sunday,29,March,2020,101.0 kPa
5:00,PM,PDT,Sunday,29,March,2020,100.9 kPa
11:00,PM,PDT,Sunday,29,March,2020,100.5 kPa
5:42,AM,PDT,Monday,30,March,2020,99.9 kPa
11:00,AM,PDT,Monday,30,March,2020,100.7 kPa
5:00,PM,PDT,Monday,30,March,2020,101.0 kPa
11:00,PM,PDT,Monday,30,March,2020,101.2 kPa
5:00,AM,PDT,Tuesday,31,March,2020,101.3 kPa
11:00,AM,PDT,Tuesday,31,March,2020,101.6 kPa
5:00,PM,PDT,Tuesday,31,March,2020,101.6 kPa
11:00,PM,PDT,Tuesday,31,March,2020,101.7 kPa
5:42,AM,PDT,Wednesday,1,April,2020,101.9 kPa
11:00,AM,PDT,Wednesday,1,April,2020,102.0 kPa
5:00,PM,PDT,Wednesday,1,April,2020,102.0 kPa
11:00,PM,PDT,Wednesday,1,April,2020,102.1 kPa
5:00,AM,PDT,Thursday,2,April,2020,102.2 kPa
11:00,AM,PDT,Thursday,2,April,2020,102.3 kPa
5:00,PM,PDT,Thursday,2,April,2020,102.1 kPa
11:00,PM,PDT,Thursday,2,April,2020,102.0 kPa
5:00,AM,PDT,Friday,3,April,2020,101.8 kPa
11:00,AM,PDT,Friday,3,April,2020,101.7 kPa
5:00,PM,PDT,Friday,3,April,2020,101.5 kPa
11:00,PM,PDT,Friday,3,April,2020,101.5 kPa
5:17,AM,PDT,Saturday,4,April,2020,101.3 kPa
11:00,AM,PDT,Saturday,4,April,2020,101.1 kPa
5:00,PM,PDT,Saturday,4,April,2020,100.7 kPa
11:00,PM,PDT,Saturday,4,April,2020,100.6 kPa
5:00,AM,PDT,Sunday,5,April,2020,100.5 kPa
10:00,AM,PDT,Sunday,5,April,2020,100.6 kPa
5:00,PM,PDT,Sunday,5,April,2020,100.5 kPa
10:00,PM,PDT,Sunday,5,April,2020,100.6 kPa
4:43,AM,PDT,Monday,6,April,2020,101.0 kPa
11:00,AM,PDT,Monday,6,April,2020,101.4 kPa
5:00,PM,PDT,Monday,6,April,2020,101.6 kPa
11:00,PM,PDT,Monday,6,April,2020,101.7 kPa
5:00,AM,PDT,Tuesday,7,April,2020,102.0 kPa
11:00,AM,PDT,Tuesday,7,April,2020,102.4 kPa
5:00,PM,PDT,Tuesday,7,April,2020,102.5 kPa
11:00,PM,PDT,Tuesday,7,April,2020,102.6 kPa
5:00,AM,PDT,Wednesday,8,April,2020,102.7 kPa
11:00,AM,PDT,Wednesday,8,April,2020,102.8 kPa
5:00,PM,PDT,Wednesday,8,April,2020,102.5 kPa
11:00,PM,PDT,Wednesday,8,April,2020,102.4 kPa
5:30,AM,PDT,Thursday,9,April,2020,102.3 kPa
11:00,AM,PDT,Thursday,9,April,2020,102.3 kPa
5:00,PM,PDT,Thursday,9,April,2020,101.9 kPa
11:00,PM,PDT,Thursday,9,April,2020,101.8 kPa
5:00,AM,PDT,Friday,10,April,2020,101.9 kPa
11:00,AM,PDT,Friday,10,April,2020,101.9 kPa
5:00,PM,PDT,Friday,10,April,2020,101.7 kPa
11:00,PM,PDT,Friday,10,April,2020,101.6 kPa
5:00,AM,PDT,Saturday,11,April,2020,101.7 kPa
11:00,AM,PDT,Saturday,11,April,2020,102.3 kPa
5:00,PM,PDT,Saturday,11,April,2020,102.3 kPa
11:00,PM,PDT,Saturday,11,April,2020,102.4 kPa
5:06,AM,PDT,Sunday,12,April,2020,102.6 kPa
11:00,AM,PDT,Sunday,12,April,2020,102.8 kPa
5:00,PM,PDT,Sunday,12,April,2020,102.6 kPa
11:00,PM,PDT,Sunday,12,April,2020,102.6 kPa
5:04,AM,PDT,Monday,13,April,2020,102.9 kPa
11:00,AM,PDT,Monday,13,April,2020,103.1 kPa
5:00,PM,PDT,Monday,13,April,2020,102.9 kPa
11:00,PM,PDT,Monday,13,April,2020,102.7 kPa
5:00,AM,PDT,Tuesday,14,April,2020,102.7 kPa
11:00,AM,PDT,Tuesday,14,April,2020,102.8 kPa
5:00,PM,PDT,Tuesday,14,April,2020,102.4 kPa
11:00,PM,PDT,Tuesday,14,April,2020,102.3 kPa
5:00,AM,PDT,Wednesday,15,April,2020,102.5 kPa
11:00,AM,PDT,Wednesday,15,April,2020,102.7 kPa
5:00,PM,PDT,Wednesday,15,April,2020,102.4 kPa
11:00,PM,PDT,Wednesday,15,April,2020,102.5 kPa
5:00,AM,PDT,Thursday,16,April,2020,102.6 kPa
11:00,AM,PDT,Thursday,16,April,2020,102.6 kPa
5:00,PM,PDT,Thursday,16,April,2020,102.2 kPa
11:00,PM,PDT,Thursday,16,April,2020,102.0 kPa
5:00,AM,PDT,Friday,17,April,2020,101.8 kPa
11:00,AM,PDT,Friday,17,April,2020,101.6 kPa
5:00,PM,PDT,Friday,17,April,2020,101.2 kPa
11:00,PM,PDT,Friday,17,April,2020,101.1 kPa
5:00,AM,PDT,Saturday,18,April,2020,101.2 kPa
11:00,AM,PDT,Saturday,18,April,2020,101.4 kPa
5:00,PM,PDT,Saturday,18,April,2020,101.5 kPa
11:00,PM,PDT,Saturday,18,April,2020,101.6 kPa
5:00,AM,PDT,Sunday,19,April,2020,101.8 kPa
11:00,AM,PDT,Sunday,19,April,2020,102.0 kPa
5:00,PM,PDT,Sunday,19,April,2020,101.9 kPa
11:00,PM,PDT,Sunday,19,April,2020,101.8 kPa
5:00,AM,PDT,Monday,20,April,2020,101.9 kPa
11:00,AM,PDT,Monday,20,April,2020,102.0 kPa
5:00,PM,PDT,Monday,20,April,2020,101.9 kPa
11:00,PM,PDT,Monday,20,April,2020,102.0 kPa
5:00,AM,PDT,Tuesday,21,April,2020,102.1 kPa
11:00,AM,PDT,Tuesday,21,April,2020,102.5 kPa
5:00,PM,PDT,Tuesday,21,April,2020,102.5 kPa
11:00,PM,PDT,Tuesday,21,April,2020,102.5 kPa
5:51,AM,PDT,Wednesday,22,April,2020,102.2 kPa
11:00,AM,PDT,Wednesday,22,April,2020,102.0 kPa
5:00,PM,PDT,Wednesday,22,April,2020,101.8 kPa
11:00,PM,PDT,Wednesday,22,April,2020,101.9 kPa
5:00,AM,PDT,Thursday,23,April,2020,102.2 kPa
11:00,AM,PDT,Thursday,23,April,2020,102.4 kPa
5:00,PM,PDT,Thursday,23,April,2020,102.4 kPa
11:00,PM,PDT,Thursday,23,April,2020,102.4 kPa
5:00,AM,PDT,Friday,24,April,2020,102.4 kPa
11:00,AM,PDT,Friday,24,April,2020,102.3 kPa
5:00,PM,PDT,Friday,24,April,2020,102.2 kPa
11:00,PM,PDT,Friday,24,April,2020,102.0 kPa
5:40,AM,PDT,Saturday,25,April,2020,101.4 kPa
11:00,AM,PDT,Saturday,25,April,2020,101.2 kPa
5:00,PM,PDT,Saturday,25,April,2020,101.6 kPa
11:00,PM,PDT,Saturday,25,April,2020,101.9 kPa
5:00,AM,PDT,Sunday,26,April,2020,102.0 kPa
11:00,AM,PDT,Sunday,26,April,2020,102.0 kPa
5:00,PM,PDT,Sunday,26,April,2020,101.5 kPa
11:00,PM,PDT,Sunday,26,April,2020,101.2 kPa
5:00,AM,PDT,Monday,27,April,2020,101.0 kPa
11:45,AM,PDT,Monday,27,April,2020,101.6 kPa
5:00,PM,PDT,Monday,27,April,2020,101.9 kPa
11:00,PM,PDT,Monday,27,April,2020,102.3 kPa
5:00,AM,PDT,Tuesday,28,April,2020,102.4 kPa
11:00,AM,PDT,Tuesday,28,April,2020,102.5 kPa
5:00,PM,PDT,Tuesday,28,April,2020,102.6 kPa
11:00,PM,PDT,Tuesday,28,April,2020,102.4 kPa
5:00,AM,PDT,Wednesday,29,April,2020,101.8 kPa
11:32,AM,PDT,Wednesday,29,April,2020,101.2 kPa
5:00,PM,PDT,Wednesday,29,April,2020,101.0 kPa
11:00,PM,PDT,Wednesday,29,April,2020,101.3 kPa
5:00,AM,PDT,Thursday,30,April,2020,101.6 kPa
11:00,AM,PDT,Thursday,30,April,2020,101.8 kPa
5:00,PM,PDT,Thursday,30,April,2020,101.9 kPa
11:00,PM,PDT,Thursday,30,April,2020,102.0 kPa
5:00,AM,PDT,Friday,1,May,2020,101.9 kPa
11:00,AM,PDT,Friday,1,May,2020,101.8 kPa
5:00,PM,PDT,Friday,1,May,2020,101.7 kPa
11:00,PM,PDT,Friday,1,May,2020,101.5 kPa
5:00,AM,PDT,Saturday,2,May,2020,101.1 kPa
11:00,AM,PDT,Saturday,2,May,2020,100.8 kPa
5:00,PM,PDT,Saturday,2,May,2020,100.9 kPa
11:00,PM,PDT,Saturday,2,May,2020,101.4 kPa
5:00,AM,PDT,Sunday,3,May,2020,101.9 kPa
11:00,AM,PDT,Sunday,3,May,2020,102.4 kPa
5:00,PM,PDT,Sunday,3,May,2020,102.5 kPa
11:00,PM,PDT,Sunday,3,May,2020,102.6 kPa
5:00,AM,PDT,Monday,4,May,2020,102.5 kPa
11:00,AM,PDT,Monday,4,May,2020,102.3 kPa
5:00,PM,PDT,Monday,4,May,2020,102.0 kPa
11:00,PM,PDT,Monday,4,May,2020,102.2 kPa
5:00,AM,PDT,Tuesday,5,May,2020,102.3 kPa
11:00,AM,PDT,Tuesday,5,May,2020,102.2 kPa
5:00,PM,PDT,Tuesday,5,May,2020,101.7 kPa
11:25,PM,PDT,Tuesday,5,May,2020,101.6 kPa
5:00,AM,PDT,Wednesday,6,May,2020,102.0 kPa
11:00,AM,PDT,Wednesday,6,May,2020,102.5 kPa
5:00,PM,PDT,Wednesday,6,May,2020,102.9 kPa
11:00,PM,PDT,Wednesday,6,May,2020,103.1 kPa
5:00,AM,PDT,Thursday,7,May,2020,103.3 kPa
11:00,AM,PDT,Thursday,7,May,2020,103.2 kPa
5:00,PM,PDT,Thursday,7,May,2020,102.7 kPa
11:00,PM,PDT,Thursday,7,May,2020,102.5 kPa
5:00,AM,PDT,Friday,8,May,2020,102.4 kPa
11:00,AM,PDT,Friday,8,May,2020,102.4 kPa
5:00,PM,PDT,Friday,8,May,2020,102.0 kPa
11:00,PM,PDT,Friday,8,May,2020,101.9 kPa
5:00,AM,PDT,Saturday,9,May,2020,101.9 kPa
11:00,AM,PDT,Saturday,9,May,2020,101.9 kPa
5:00,PM,PDT,Saturday,9,May,2020,101.5 kPa
11:00,PM,PDT,Saturday,9,May,2020,101.4 kPa
5:00,AM,PDT,Sunday,10,May,2020,101.4 kPa
11:00,AM,PDT,Sunday,10,May,2020,101.3 kPa
5:00,PM,PDT,Sunday,10,May,2020,100.9 kPa
11:00,PM,PDT,Sunday,10,May,2020,100.7 kPa
5:00,AM,PDT,Monday,11,May,2020,100.7 kPa
11:00,AM,PDT,Monday,11,May,2020,100.7 kPa
5:00,PM,PDT,Monday,11,May,2020,100.4 kPa
11:00,PM,PDT,Monday,11,May,2020,100.6 kPa
5:30,AM,PDT,Tuesday,12,May,2020,100.6 kPa
11:00,AM,PDT,Tuesday,12,May,2020,100.6 kPa
5:00,PM,PDT,Tuesday,12,May,2020,100.4 kPa
11:37,PM,PDT,Tuesday,12,May,2020,100.6 kPa
5:13,AM,PDT,Wednesday,13,May,2020,100.9 kPa
11:00,AM,PDT,Wednesday,13,May,2020,101.1 kPa
5:00,PM,PDT,Wednesday,13,May,2020,101.1 kPa
11:00,PM,PDT,Wednesday,13,May,2020,101.3 kPa
5:26,AM,PDT,Thursday,14,May,2020,101.4 kPa
11:00,AM,PDT,Thursday,14,May,2020,101.5 kPa
5:00,PM,PDT,Thursday,14,May,2020,101.5 kPa
11:00,PM,PDT,Thursday,14,May,2020,101.7 kPa
5:00,AM,PDT,Friday,15,May,2020,101.9 kPa
11:00,AM,PDT,Friday,15,May,2020,102.1 kPa
5:00,PM,PDT,Friday,15,May,2020,101.9 kPa
11:00,PM,PDT,Friday,15,May,2020,101.7 kPa
5:00,AM,PDT,Saturday,16,May,2020,101.3 kPa
11:23,AM,PDT,Saturday,16,May,2020,101.0 kPa
5:00,PM,PDT,Saturday,16,May,2020,100.8 kPa
11:00,PM,PDT,Saturday,16,May,2020,100.6 kPa
5:48,AM,PDT,Sunday,17,May,2020,100.6 kPa
11:20,AM,PDT,Sunday,17,May,2020,100.7 kPa
5:00,PM,PDT,Sunday,17,May,2020,100.6 kPa
11:00,PM,PDT,Sunday,17,May,2020,100.8 kPa
5:00,AM,PDT,Monday,18,May,2020,100.8 kPa
11:00,AM,PDT,Monday,18,May,2020,101.0 kPa
5:00,PM,PDT,Monday,18,May,2020,100.9 kPa
11:00,PM,PDT,Monday,18,May,2020,101.2 kPa
5:00,AM,PDT,Tuesday,19,May,2020,101.4 kPa
11:00,AM,PDT,Tuesday,19,May,2020,101.6 kPa
5:00,PM,PDT,Tuesday,19,May,2020,101.5 kPa
11:00,PM,PDT,Tuesday,19,May,2020,101.6 kPa
5:00,AM,PDT,Wednesday,20,May,2020,101.6 kPa
11:00,AM,PDT,Wednesday,20,May,2020,101.7 kPa
5:00,PM,PDT,Wednesday,20,May,2020,101.5 kPa
11:00,PM,PDT,Wednesday,20,May,2020,101.4 kPa
5:23,AM,PDT,Thursday,21,May,2020,101.5 kPa
11:00,AM,PDT,Thursday,21,May,2020,101.4 kPa
5:00,PM,PDT,Thursday,21,May,2020,101.4 kPa
11:00,PM,PDT,Thursday,21,May,2020,101.4 kPa
5:00,AM,PDT,Friday,22,May,2020,101.4 kPa
11:00,AM,PDT,Friday,22,May,2020,101.6 kPa
5:00,PM,PDT,Friday,22,May,2020,101.8 kPa
11:00,PM,PDT,Friday,22,May,2020,102.0 kPa
5:00,AM,PDT,Saturday,23,May,2020,102.1 kPa
11:00,AM,PDT,Saturday,23,May,2020,102.3 kPa
5:00,PM,PDT,Saturday,23,May,2020,102.2 kPa
11:00,PM,PDT,Saturday,23,May,2020,102.2 kPa
5:00,AM,PDT,Sunday,24,May,2020,102.2 kPa
11:00,AM,PDT,Sunday,24,May,2020,102.4 kPa
5:00,PM,PDT,Sunday,24,May,2020,102.2 kPa
11:00,PM,PDT,Sunday,24,May,2020,102.0 kPa
5:00,AM,PDT,Monday,25,May,2020,101.8 kPa
11:00,AM,PDT,Monday,25,May,2020,101.7 kPa
5:00,PM,PDT,Monday,25,May,2020,101.8 kPa
11:00,PM,PDT,Monday,25,May,2020,101.8 kPa
5:00,AM,PDT,Tuesday,26,May,2020,101.9 kPa
11:00,AM,PDT,Tuesday,26,May,2020,102.1 kPa
5:00,PM,PDT,Tuesday,26,May,2020,102.2 kPa
11:00,PM,PDT,Tuesday,26,May,2020,102.2 kPa
5:00,AM,PDT,Wednesday,27,May,2020,102.2 kPa
11:00,AM,PDT,Wednesday,27,May,2020,102.3 kPa
5:00,PM,PDT,Wednesday,27,May,2020,102.1 kPa
11:00,PM,PDT,Wednesday,27,May,2020,101.9 kPa
5:00,AM,PDT,Thursday,28,May,2020,101.8 kPa
11:00,AM,PDT,Thursday,28,May,2020,101.8 kPa
5:00,PM,PDT,Thursday,28,May,2020,101.6 kPa
11:00,PM,PDT,Thursday,28,May,2020,101.3 kPa
5:00,AM,PDT,Friday,29,May,2020,101.4 kPa
11:00,AM,PDT,Friday,29,May,2020,101.4 kPa
5:00,PM,PDT,Friday,29,May,2020,101.2 kPa
11:00,PM,PDT,Friday,29,May,2020,101.1 kPa
5:00,AM,PDT,Saturday,30,May,2020,100.9 kPa
11:00,AM,PDT,Saturday,30,May,2020,101.1 kPa
5:00,PM,PDT,Saturday,30,May,2020,100.8 kPa
11:00,PM,PDT,Saturday,30,May,2020,101.1 kPa
5:00,AM,PDT,Sunday,31,May,2020,101.3 kPa
11:17,AM,PDT,Sunday,31,May,2020,101.7 kPa
5:00,PM,PDT,Sunday,31,May,2020,101.9 kPa
11:00,PM,PDT,Sunday,31,May,2020,101.9 kPa
5:00,AM,PDT,Monday,1,June,2020,102.0 kPa
11:00,AM,PDT,Monday,1,June,2020,102.2 kPa
5:00,PM,PDT,Monday,1,June,2020,102.2 kPa
11:00,PM,PDT,Monday,1,June,2020,102.3 kPa
5:00,AM,PDT,Tuesday,2,June,2020,102.2 kPa
11:00,AM,PDT,Tuesday,2,June,2020,102.2 kPa
5:00,PM,PDT,Tuesday,2,June,2020,102.4 kPa
11:00,PM,PDT,Tuesday,2,June,2020,102.4 kPa
5:00,AM,PDT,Wednesday,3,June,2020,102.3 kPa
11:00,AM,PDT,Wednesday,3,June,2020,102.3 kPa
5:00,PM,PDT,Wednesday,3,June,2020,102.1 kPa
11:00,PM,PDT,Wednesday,3,June,2020,101.9 kPa
5:00,AM,PDT,Thursday,4,June,2020,101.8 kPa
11:00,AM,PDT,Thursday,4,June,2020,101.9 kPa
5:00,PM,PDT,Thursday,4,June,2020,101.7 kPa
11:00,PM,PDT,Thursday,4,June,2020,101.5 kPa
5:00,AM,PDT,Friday,5,June,2020,101.0 kPa
11:00,AM,PDT,Friday,5,June,2020,100.8 kPa
5:00,PM,PDT,Friday,5,June,2020,100.6 kPa
11:00,PM,PDT,Friday,5,June,2020,100.6 kPa
5:39,AM,PDT,Saturday,6,June,2020,100.7 kPa
11:07,AM,PDT,Saturday,6,June,2020,100.9 kPa
5:00,PM,PDT,Saturday,6,June,2020,100.9 kPa
11:00,PM,PDT,Saturday,6,June,2020,101.0 kPa
5:00,AM,PDT,Sunday,7,June,2020,101.2 kPa
11:00,AM,PDT,Sunday,7,June,2020,101.3 kPa
5:00,PM,PDT,Sunday,7,June,2020,101.4 kPa
11:00,PM,PDT,Sunday,7,June,2020,101.6 kPa
5:00,AM,PDT,Monday,8,June,2020,101.9 kPa
11:00,AM,PDT,Monday,8,June,2020,102.1 kPa
5:00,PM,PDT,Monday,8,June,2020,102.1 kPa
11:00,PM,PDT,Monday,8,June,2020,102.0 kPa
5:14,AM,PDT,Tuesday,9,June,2020,101.8 kPa
11:00,AM,PDT,Tuesday,9,June,2020,101.7 kPa
5:48,PM,PDT,Tuesday,9,June,2020,101.9 kPa
11:00,PM,PDT,Tuesday,9,June,2020,102.1 kPa
5:00,AM,PDT,Wednesday,10,June,2020,102.0 kPa
11:47,AM,PDT,Wednesday,10,June,2020,101.9 kPa
5:00,PM,PDT,Wednesday,10,June,2020,101.8 kPa
11:00,PM,PDT,Wednesday,10,June,2020,101.8 kPa
5:00,AM,PDT,Thursday,11,June,2020,101.7 kPa
11:00,AM,PDT,Thursday,11,June,2020,101.8 kPa
5:00,PM,PDT,Thursday,11,June,2020,101.8 kPa
11:00,PM,PDT,Thursday,11,June,2020,101.7 kPa
5:00,AM,PDT,Friday,12,June,2020,101.4 kPa
11:38,AM,PDT,Friday,12,June,2020,101.5 kPa
5:00,PM,PDT,Friday,12,June,2020,101.7 kPa
11:00,PM,PDT,Friday,12,June,2020,101.6 kPa
5:35,AM,PDT,Saturday,13,June,2020,101.3 kPa
11:00,AM,PDT,Saturday,13,June,2020,101.3 kPa
5:00,PM,PDT,Saturday,13,June,2020,101.3 kPa
11:00,PM,PDT,Saturday,13,June,2020,101.3 kPa
5:50,AM,PDT,Sunday,14,June,2020,101.4 kPa
11:00,AM,PDT,Sunday,14,June,2020,101.5 kPa
5:00,PM,PDT,Sunday,14,June,2020,101.6 kPa
11:00,PM,PDT,Sunday,14,June,2020,101.5 kPa
5:00,AM,PDT,Monday,15,June,2020,101.2 kPa
11:00,AM,PDT,Monday,15,June,2020,101.1 kPa
11:00,PM,PDT,Monday,15,June,2020,101.4 kPa
5:00,AM,PDT,Tuesday,16,June,2020,101.6 kPa
11:00,AM,PDT,Tuesday,16,June,2020,101.9 kPa
5:00,PM,PDT,Tuesday,16,June,2020,102.0 kPa
11:00,PM,PDT,Tuesday,16,June,2020,102.2 kPa
5:00,AM,PDT,Wednesday,17,June,2020,102.4 kPa
11:00,AM,PDT,Wednesday,17,June,2020,102.5 kPa
5:00,PM,PDT,Wednesday,17,June,2020,102.4 kPa
11:00,PM,PDT,Wednesday,17,June,2020,102.5 kPa
5:00,AM,PDT,Thursday,18,June,2020,102.5 kPa
11:00,AM,PDT,Thursday,18,June,2020,102.4 kPa
5:00,PM,PDT,Thursday,18,June,2020,102.0 kPa
11:00,PM,PDT,Thursday,18,June,2020,101.8 kPa
5:00,AM,PDT,Friday,19,June,2020,101.6 kPa
11:00,AM,PDT,Friday,19,June,2020,101.5 kPa
5:00,PM,PDT,Friday,19,June,2020,101.3 kPa
11:38,PM,PDT,Friday,19,June,2020,101.2 kPa
5:00,AM,PDT,Saturday,20,June,2020,101.2 kPa
11:45,AM,PDT,Saturday,20,June,2020,101.4 kPa
5:00,PM,PDT,Saturday,20,June,2020,101.4 kPa
11:00,PM,PDT,Saturday,20,June,2020,101.5 kPa
5:00,AM,PDT,Sunday,21,June,2020,101.7 kPa
11:00,AM,PDT,Sunday,21,June,2020,102.0 kPa
5:00,PM,PDT,Sunday,21,June,2020,102.1 kPa
11:00,PM,PDT,Sunday,21,June,2020,102.2 kPa
5:00,AM,PDT,Monday,22,June,2020,102.3 kPa
11:00,AM,PDT,Monday,22,June,2020,102.4 kPa
5:00,PM,PDT,Monday,22,June,2020,102.2 kPa
11:00,PM,PDT,Monday,22,June,2020,102.0 kPa
5:00,AM,PDT,Tuesday,23,June,2020,101.9 kPa
11:00,AM,PDT,Tuesday,23,June,2020,101.8 kPa
5:00,PM,PDT,Tuesday,23,June,2020,101.6 kPa
11:23,PM,PDT,Tuesday,23,June,2020,101.2 kPa
5:45,AM,PDT,Wednesday,24,June,2020,101.2 kPa
